Row ID,Row Title,architecture
REQ-001,Item REQ-001,ARC-001: Item ARC-001,ARC-002: Item ARC-002,ARC-003: Item ARC-003,ARC-004: Item ARC-004
REQ-002,Item REQ-002,ARC-002: Item ARC-002,ARC-003: Item ARC-003
REQ-003,Item REQ-003,ARC-002: Item ARC-002
REQ-004,Item REQ-004,ARC-002: Item ARC-002,ARC-003: Item ARC-003
REQ-005,Item REQ-005,ARC-003: Item ARC-003
REQ-006,Item REQ-006,ARC-001: Item ARC-001,ARC-002: Item ARC-002,ARC-004: Item ARC-004
REQ-007,Item REQ-007,ARC-002: Item ARC-002,ARC-004: Item ARC-004
REQ-008,Item REQ-008,ARC-002: Item ARC-002,ARC-004: Item ARC-004
REQ-009,Item REQ-009,ARC-001: Item ARC-001
REQ-010,Item REQ-010,
REQ-011,Item REQ-011,ARC-002: Item ARC-002
REQ-012,Item REQ-012,
REQ-013,Item REQ-013,ARC-001: Item ARC-001,ARC-003: Item ARC-003,ARC-004: Item ARC-004
REQ-014,Item REQ-014,ARC-003: Item ARC-003
REQ-015,Item REQ-015,ARC-004: Item ARC-004
REQ-016,Item REQ-016,ARC-003: Item ARC-003
REQ-017,Item REQ-017,ARC-003: Item ARC-003
REQ-018,Item REQ-018,ARC-001: Item ARC-001,ARC-004: Item ARC-004
REQ-019,Item REQ-019,
REQ-020,Item REQ-020,
REQ-021,Item REQ-021,
REQ-022,Item REQ-022,
REQ-023,Item REQ-023,
REQ-024,Item REQ-024,ARC-001: Item ARC-001,ARC-002: Item ARC-002,ARC-004: Item ARC-004
REQ-025,Item REQ-025,ARC-002: Item ARC-002
REQ-026,Item REQ-026,
REQ-027,Item REQ-027,
REQ-028,Item REQ-028,ARC-004: Item ARC-004
REQ-029,Item REQ-029,ARC-002: Item ARC-002,ARC-003: Item ARC-003,ARC-004: Item ARC-004
REQ-030,Item REQ-030,
REQ-031,Item REQ-031,
REQ-032,Item REQ-032,
REQ-033,Item REQ-033,
REQ-034,Item REQ-034,ARC-002: Item ARC-002,ARC-004: Item ARC-004
REQ-035,Item REQ-035,ARC-001: Item ARC-001,ARC-003: Item ARC-003
REQ-036,Item REQ-036,ARC-001: Item ARC-001

Total 36 rows
Coverage: 63.9%
